Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	Collection	FDR.overall
HBC_Chen_32888493_2	1661	0	PC7 (0e+00)	HBC_Chen_32888493_2-hg38.tsv.gz	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	618542	0	618542		Multiple (See publication)	European (Inc. UKBB)		0
HBC_Chen_32888493_4	1660	1.49793829195426e-25	PC10 (3e-17)	HBC_Chen_32888493_4-hg38.tsv.gz	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	9302	0	9302		Multiple (See publication)	Latin American (Hispanic American / Latinos)		2.25390714957604e-25
HBC_Chen_32888493_5	1661	0	PC7 (0e+00)	HBC_Chen_32888493_5-hg38.tsv.gz	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	801305	0	801305		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
HBC_Ferreira_19853236_1	1332	1.25590861106714e-20	PC10 (9e-15)	HBC_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	HBC	Hemoglobin concentration	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		1.83819351256191e-20
HBC_Kanai_29403010_1	1515	3.77546008212474e-96	PC10 (3e-55)	HBC_Kanai_29403010_1-hg38.tsv.gz	Kanai	2018	29403010	HBC	Hemoglobin concentration	BC	108769	0	108769	6108953	Illumina HumanOmniExpressExome BeadChip	East Asian (Japanese)	Jenger Riken	7.15116556731863e-96
HBC_Sakaue_doi1011012020102320213652_1	1562	5.97119553300014e-83	PC7 (8e-20)	HBC_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	HBC	Hemoglobin concentration	BC	152447	0	152447		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	1.10501434576209e-82
HBC_Vuckovic_32888494_1	1661	0	PC7 (0e+00)	HBC_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	HBC	Hemoglobin concentration	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
HBEGF_Folkersen_33067605_1	1661	1.65025505450826e-17	PC8 (6e-10)	HBEGF_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	HBEGF	Proheparin-binding EGF-like growth factor (HB-EGF) levels	BMK	21758	0	21758		Multiple (see paper)	European		2.30064969363799e-16
HDL_SinnottArmstrong_33462484_1	1640	8.85969080541978e-77	PC8 (1e-27)	HDL_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	HDL	HDL cholesterol	BMK	332323	0	332323		Multiple (UKBB data & others)	Trans-ethnic	UKBB	4.19949344176897e-75
HEMAT_Chen_32888493_1	1661	1.60889039038525e-10	PC10 (1e-13)	HEMAT_Chen_32888493_1-hg38.tsv.gz	Chen	2020	32888493	HEMAT	Hematocrit	BC	8546	0	8546		Multiple (See publication)	African		1.9925488680925e-10
HEMAT_Chen_32888493_2	1661	0	PC7 (0e+00)	HEMAT_Chen_32888493_2-hg38.tsv.gz	Chen	2020	32888493	HEMAT	Hematocrit	BC	613309	0	613309		Multiple (See publication)	European (Inc. UKBB)		0
HEMAT_Chen_32888493_4	1660	2.94615139813845e-24	PC10 (3e-21)	HEMAT_Chen_32888493_4-hg38.tsv.gz	Chen	2020	32888493	HEMAT	Hematocrit	BC	9301	0	9301		Multiple (See publication)	Latin American (Hispanic American / Latinos)		4.39194791759528e-24
HEMAT_Chen_32888493_5	1661	0	PC7 (0e+00)	HEMAT_Chen_32888493_5-hg38.tsv.gz	Chen	2020	32888493	HEMAT	Hematocrit	BC	788797	0	788797		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
HEMAT_Chen_32888493_6	1661	1.64554931058743e-181	PC10 (2e-157)	HEMAT_Chen_32888493_6-hg38.tsv.gz	Chen	2020	32888493	HEMAT	Hematocrit	BC	788797	0	788797		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		3.3116679875572e-181
HEMAT_Ferreira_19853236_1	1332	8.52663381927676e-18	PC10 (2e-20)	HEMAT_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	HEMAT	Hematocrit	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		1.17332311530219e-17
HEMAT_Sakaue_doi1011012020102320213652_1	1562	5.91297406437147e-79	PC10 (1e-08)	HEMAT_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	HEMAT	Hematocrit	BC	153015	0	153015		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	1.0818054822316e-78
HEMAT_Vuckovic_32888494_1	1661	0	PC7 (0e+00)	HEMAT_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	HEMAT	Hematocrit	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
HGF_Folkersen_33067605_1	1661	9.36771386012556e-07	PC8 (2e-06)	HGF_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	21758	0	21758		Multiple (see paper)	European		8.88059273939903e-06
HSP27_Folkersen_33067605_1	1661	7.08528731674827e-09	PC3 (1e-12)	HSP27_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	HSP27	Heat shock 27 kDa protein levels	BMK	21758	0	21758		Multiple (see paper)	European		8.1912833857041e-08
HYPOTHYROIDISM_FinnGen_FinnGenR7_1	1655	2.25460038747964e-20	PC9 (5e-07)	HYPOTHYROIDISM_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	HYPOTHYROIDISM	Hypothyroidism (congenital or acquired) (FinnGen)	OTH	76464	38624	115088			European (Finnish)	FinnGen	4.95985330479669e-18
HYPOTHY_LEVOTHY_FinnGen_FinnGenR7_1	1655	2.42180337148276e-20	PC9 (7e-07)	HYPOTHY_LEVOTHY_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	HYPOTHY_LEVOTHY	Hypothyroidism, levothyroxin purchases (FinnGen)	OTH	76464	38127	114591			European (Finnish)	FinnGen	4.95985330479669e-18
HYPOTHY_PURCHASE_FinnGen_FinnGenR7_1	1655	2.42180337148276e-20	PC9 (7e-07)	HYPOTHY_PURCHASE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases (FinnGen)	OTH	76464	38127	114591			European (Finnish)	FinnGen	4.95985330479669e-18
HYPOTHY_REIMB_FinnGen_FinnGenR7_1	1655	1.29910841218071e-11	PC8 (2e-07)	HYPOTHY_REIMB_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	HYPOTHY_REIMB	Hypothyroidism, drug reimbursement (FinnGen)	OTH	76441	9868	86309			European (Finnish)	FinnGen	1.33028701407305e-09
HYPOT_THYRO_INCL_FinnGen_FinnGenR7_1	1655	3.52992206546795e-28	PC6 (4e-10)	HYPOT_THYRO_INCL_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	HYPOT_THYRO_INCL	Hypotyreosis and Thyroxin purchase for inclusion criteria (FinnGen)	OTH	270528	38626	309154			European (Finnish)	FinnGen	2.87817489284655e-25
I9_ANGINA_FinnGen_FinnGenR7_1	1655	1.39777013706403e-06	PC4 (5e-05)	I9_ANGINA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_ANGINA	Angina pectoris (FinnGen)	OTH	260124	27046	287170			European (Finnish)	FinnGen	7.15658310176783e-05
I9_CABG_FinnGen_FinnGenR7_1	1655	5.86729540691858e-07	PC13 (2e-06)	I9_CABG_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CABG	Coronary artery bypass grafting (FinnGen)	OTH	260124	8693	268817			European (Finnish)	FinnGen	3.33783916482479e-05
I9_CHD_FinnGen_FinnGenR7_1	1655	1.7983776792793e-06	PC13 (2e-05)	I9_CHD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CHD	Major coronary heart disease event (FinnGen)	OTH	275526	33628	309154			European (Finnish)	FinnGen	8.76923211229525e-05
I9_CHD_NOREV_FinnGen_FinnGenR7_1	1655	4.25143864460619e-05	PC13 (5e-04)	I9_CHD_NOREV_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CHD_NOREV	Major coronary heart disease event excluding revascularizations (FinnGen)	OTH	275228	27443	302671			European (Finnish)	FinnGen	0.00129880571505736
I9_CORATHER_FinnGen_FinnGenR7_1	1655	4.46444107079869e-09	PC14 (5e-05)	I9_CORATHER_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CORATHER	Coronary atherosclerosis (FinnGen)	OTH	260124	36418	296542			European (Finnish)	FinnGen	3.26541975464133e-07
I9_CVD_FinnGen_FinnGenR7_1	1655	4.37204658318495e-06	PC8 (9e-06)	I9_CVD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CVD	Cardiovascular diseases (FinnGen)	OTH	143017	166137	309154			European (Finnish)	FinnGen	0.000197064339324553
I9_CVD_HARD_FinnGen_FinnGenR7_1	1655	3.22665563437375e-08	PC14 (8e-06)	I9_CVD_HARD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_CVD_HARD	Hard cardiovascular diseases (FinnGen)	OTH	262448	46706	309154			European (Finnish)	FinnGen	2.13167443199917e-06
I9_DISVEINLYMPH_FinnGen_FinnGenR7_1	1655	3.90362535380147e-05	PC10 (1e-03)	I9_DISVEINLYMPH_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FinnGen)	OTH	267090	42064	309154			European (Finnish)	FinnGen	0.00122994226532083
I9_HEARTFAIL_AND_ANTIHYPERT_FinnGen_FinnGenR7_1	1655	6.07205195574731e-06	PC14 (6e-04)	I9_HEARTFAIL_AND_ANTIHYPERT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_HEARTFAIL_AND_ANTIHYPERT	Heart failure and antihypertensive medication (FinnGen)	OTH	150798	18650	169448			European (Finnish)	FinnGen	0.000259074216778552
I9_HEARTFAIL_NS_FinnGen_FinnGenR7_1	1655	2.37789219376608e-05	PC5 (9e-04)	I9_HEARTFAIL_NS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_HEARTFAIL_NS	Heart failure, not strict (FinnGen)	OTH	272371	36783	309154			European (Finnish)	FinnGen	0.000788055218800762
I9_HYPERTENSION_FinnGen_FinnGenR7_1	1655	1.91793525182462e-12	PC8 (4e-10)	I9_HYPERTENSION_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_HYPERTENSION	Hypertensive diseases (FinnGen)	OTH	223663	85491	309154			European (Finnish)	FinnGen	2.32603629507873e-10
I9_HYPTENSESS_FinnGen_FinnGenR7_1	1655	2.62312261562147e-10	PC8 (2e-08)	I9_HYPTENSESS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_HYPTENSESS	Hypertension, essential (FinnGen)	OTH	223663	70651	294314			European (Finnish)	FinnGen	2.23839796533032e-08
I9_HYPTENS_FinnGen_FinnGenR7_1	1655	1.9307918465009e-12	PC8 (4e-10)	I9_HYPTENS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_HYPTENS	Hypertension (FinnGen)	OTH	223663	85438	309101			European (Finnish)	FinnGen	2.32603629507873e-10
I9_IHD_FinnGen_FinnGenR7_1	1655	1.10917919370053e-08	PC14 (4e-05)	I9_IHD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_IHD	Ischaemic heart disease, wide definition (FinnGen)	OTH	260448	48706	309154			European (Finnish)	FinnGen	7.83309996102995e-07
I9_ISCHHEART_FinnGen_FinnGenR7_1	1655	3.37075847909482e-08	PC13 (3e-05)	I9_ISCHHEART_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_ISCHHEART	Ischemic heart diseases (FinnGen)	OTH	260124	49030	309154			European (Finnish)	FinnGen	2.15728542662069e-06
I9_MI_FinnGen_FinnGenR7_1	1655	1.0585159610407e-05	PC13 (7e-05)	I9_MI_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_MI	Myocardial infarction (FinnGen)	OTH	260124	20404	280528			European (Finnish)	FinnGen	0.000425066801610069
I9_MI_STRICT_FinnGen_FinnGenR7_1	1655	4.01517885809646e-06	PC13 (4e-05)	I9_MI_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_MI_STRICT	Myocardial infarction, strict (FinnGen)	OTH	260124	18339	278463			European (Finnish)	FinnGen	0.000186888325031399
I9_PAD_FinnGen_FinnGenR7_1	1655	0.000233854542990516	PC8 (4e-04)	I9_PAD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_PAD	Peripheral artery disease (FinnGen)	OTH	288638	11924	300562			European (Finnish)	FinnGen	0.00570159647672115
I9_REVASC_FinnGen_FinnGenR7_1	1655	5.4686048382631e-06	PC13 (4e-06)	I9_REVASC_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_REVASC	Coronary revascularization (ANGIO or CABG) (FinnGen)	OTH	260124	19151	279275			European (Finnish)	FinnGen	0.000238291546994954
I9_VARICVE_FinnGen_FinnGenR7_1	1655	0.000218237064030529	PC9 (8e-04)	I9_VARICVE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_VARICVE	Varicose veins (FinnGen)	OTH	267090	24281	291371			European (Finnish)	FinnGen	0.00538493382089787
I9_VEINSOTH_FinnGen_FinnGenR7_1	1655	4.81371428087385e-05	PC12 (4e-05)	I9_VEINSOTH_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	I9_VEINSOTH	Other disorders of veins (FinnGen)	OTH	267090	9288	276378			European (Finnish)	FinnGen	0.00141326649837657
IBD_DeLange_28067908_1	1661	3.011065579368e-26	PC2 (1e-13)	IBD_DeLange_28067908_1-hg38.tsv.gz	DeLange	2017	28067908	IBD	Inflammatory Bowel Disease	IMD	34915	25042	59957	9633630		European		4.60924654072486e-25
IBD_Liu_26192919_1	1656	1.99063270575167e-12	PC2 (3e-07)	IBD_Liu_26192919_1-hg38.tsv.gz	Liu	2015	26192919	IBD	Inflammatory Bowel Disease	IMD	21770	12882	34652	11555662	Affymetrix GeneChip Human Mapping 500K, Affymetrix Genome-Wide Human SNP Array 6.0, Illumina HumanHap300 BeadChip and Illumina HumanHap550 BeadChip arrays	European		1.93237028509552e-11
IGAD_Bronson_27723758_1	1659	0.000274521507590514	PC5 (9e-05)	IGAD_Bronson_27723758_1-hg38.tsv.gz	Bronson	2016	27723758	IGAD	IgA deficiency	IMD	4852	1635	6487	9464382		European		0.00111489346960229
IGF1_SinnottArmstrong_33462484_1	1640	7.57130990651293e-33	PC8 (2e-16)	IGF1_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	IGF1	Insulin-like growth factor 1 (IGF-1)	BMK	361107	0	361107		Multiple (UKBB data & others)	Trans-ethnic	UKBB	1.4953337065363e-31
IL10_AholaOlli_27989323_1	1660	0.000122469689457928	PC13 (2e-03)	IL10_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	IL10	Interleukin-10 (IL10, CSIF) levels	BMK	7681	0	7681	9898594	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	0.000841313518884897
IL10_Reales_up_1	1660	0.000877509607856037	PC9 (4e-03)	IL10_Reales_up_1-hg38.tsv.gz	Reales	2020	up	IL10	Interleukin-10 (IL10, CSIF) levels	BMK	4555	0	4555			European (Finnish + Swedish)		0.00519924442654702
IL12_AholaOlli_27989323_1	1660	0.000525714736011661	PC13 (1e-03)	IL12_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	IL12	Interleukin-12 (IL-12) levels	BMK	8270	0	8270	9905844	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	0.00323621798531854
IL16_Folkersen_33067605_1	1661	1.55452621009437e-06	PC8 (2e-04)	IL16_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL16	Interleukin-16 (IL16) levels	BMK	21758	0	21758		Multiple (see paper)	European		1.44479494820536e-05
IL18_Folkersen_33067605_1	1661	2.54494061816015e-05	PC8 (9e-08)	IL18_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL18	Interleukin-18 (IL18) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.000200048480040557
IL1RA_Folkersen_33067605_1	1661	0.000100015873658129	PC2 (1e-04)	IL1RA_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL1RA	Interleukin-1 receptor antagonist (IL1ra) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.000697169472264017
IL27_Folkersen_33067605_1	1661	0.000384027793235822	PC8 (1e-04)	IL27_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL27	Interleukin-27 levels	BMK	21758	0	21758		Multiple (see paper)	European		0.00244927295608542
IL6RA_Folkersen_33067605_1	1661	4.22690000834246e-05	PC8 (6e-05)	IL6RA_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL6RA	Interleukin-6 receptor A subunit (IL6RA) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.000313054781867863
IL7_AholaOlli_27989323_1	1660	0.000278741094567268	PC1 (2e-03)	IL7_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	IL7	Interleukin-7 (IL7) levels	BMK	3409	0	3409	9795400	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	0.00183504553923451
IL7_Reales_up_1	1660	0.00151407641669193	PC1 (6e-03)	IL7_Reales_up_1-hg38.tsv.gz	Reales	2020	up	IL7	Interleukin-7 (IL7) levels	BMK	4210	0	4210			European (Finnish + Swedish)		0.00875210026234116
IL8_AholaOlli_27989323_1	1660	0.00063655499893783	PC2 (6e-03)	IL8_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	IL8	Interleukin-8 (IL8, CXCL8)  levels	BMK	3526	0	3526	9619488	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	0.00386829576277604
IL8_Folkersen_33067605_1	1661	2.15728256278871e-05	PC11 (1e-04)	IL8_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	IL8	Interleukin-8 (IL8, CXCL8)  levels	BMK	21758	0	21758		Multiple (see paper)	European		0.000173313887247771
J10_ACUTELOWERNAS_FinnGen_FinnGenR7_1	1655	9.58036348754815e-05	PC5 (9e-05)	J10_ACUTELOWERNAS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ACUTELOWERNAS	Unspecified acute lower respiratory infection (FinnGen)	INF	293033	3525	296558			European (Finnish)	FinnGen	0.00213163087597946
J10_ACUTEUPPERINFEC_FinnGen_FinnGenR7_1	1655	9.05407958872128e-05	PC8 (1e-04)	J10_ACUTEUPPERINFEC_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ACUTEUPPERINFEC	Acute upper respiratory infections of multiple and unspecified sites (FinnGen)	INF	255610	27468	283078			European (Finnish)	FinnGen	0.00213163087597946
J10_ASTHMACOPDKELA_FinnGen_FinnGenR7_1	1655	9.75531520583668e-64	PC5 (5e-59)	J10_ASTHMACOPDKELA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMACOPDKELA	Asthma/COPD (KELA buy) (FinnGen)	IMD	259128	29093	288221			European (Finnish)	FinnGen	1.294205150641e-61
J10_ASTHMA_EXMORE_FinnGen_FinnGenR7_1	1655	5.62874250510283e-59	PC5 (3e-48)	J10_ASTHMA_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMA_EXMORE	Asthma (more controls excluded) (FinnGen)	IMD	175182	32351	207533			European (Finnish)	FinnGen	3.20034216718704e-57
J10_ASTHMA_FinnGen_FinnGenR7_1	1655	1.29776886120557e-59	PC5 (6e-49)	J10_ASTHMA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMA	Asthma (FinnGen)	IMD	180942	32351	213293			European (Finnish)	FinnGen	8.60853344599695e-58
J10_ASTHMA_INCLAVO_FinnGen_FinnGenR7_1	1655	2.52935255140029e-60	PC5 (1e-52)	J10_ASTHMA_INCLAVO_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMA_INCLAVO	Asthma, including avohilmo (FinnGen)	IMD	268644	40510	309154			European (Finnish)	FinnGen	2.51670578864329e-58
J10_ASTHMA_MAIN_EXMORE_FinnGen_FinnGenR7_1	1655	6.61200224254061e-57	PC5 (5e-48)	J10_ASTHMA_MAIN_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMA_MAIN_EXMORE	Asthma, main (more controls excluded) (FinnGen)	IMD	175182	26363	201545			European (Finnish)	FinnGen	2.92397432503463e-55
J10_ASTHMA_MAIN_FinnGen_FinnGenR7_1	1655	2.04725145471241e-57	PC5 (2e-48)	J10_ASTHMA_MAIN_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_ASTHMA_MAIN	Asthma,main (FinnGen)	IMD	180942	26363	207305			European (Finnish)	FinnGen	1.01850759871942e-55
J10_CHRONRHINITIS_FinnGen_FinnGenR7_1	1655	0.000544607317996975	PC5 (5e-05)	J10_CHRONRHINITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis (FinnGen)	INF	234924	8140	243064			European (Finnish)	FinnGen	0.00765316599501012
J10_CHRONSINUSITIS_FinnGen_FinnGenR7_1	1655	4.79367705595751e-27	PC5 (1e-28)	J10_CHRONSINUSITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_CHRONSINUSITIS	Chronic sinusitis (FinnGen)	INF	234924	12917	247841			European (Finnish)	FinnGen	4.26637257980218e-25
J10_CHRONTONSADEN_FinnGen_FinnGenR7_1	1655	4.98635374487439e-07	PC8 (4e-06)	J10_CHRONTONSADEN_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids (FinnGen)	OTH	234924	34795	269719			European (Finnish)	FinnGen	2.91772927700079e-05
J10_COPDNAS_FinnGen_FinnGenR7_1	1655	1.79377367176442e-08	PC5 (2e-10)	J10_COPDNAS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_COPDNAS	Other chronic obstructive pulmonary disease (FinnGen)	IMD	259128	12681	271809			European (Finnish)	FinnGen	1.25249459888112e-07
J10_COPDNAS_INCLAVO_FinnGen_FinnGenR7_1	1655	3.46486336573274e-05	PC5 (1e-06)	J10_COPDNAS_INCLAVO_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_COPDNAS_INCLAVO	Other chronic obstructive pulmonary disease, including avohilmo (FinnGen)	OTH	293834	15320	309154			European (Finnish)	FinnGen	0.00110875627703448
J10_COPD_FinnGen_FinnGenR7_1	1655	4.47373773188991e-09	PC5 (5e-11)	J10_COPD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_COPD	COPD (FinnGen)	IMD	259128	13255	272383			European (Finnish)	FinnGen	3.29731040239293e-08
J10_LOWCHRON_FinnGen_FinnGenR7_1	1655	1.25354118262582e-61	PC5 (2e-56)	J10_LOWCHRON_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_LOWCHRON	Chronic lower respiratory diseases (FinnGen)	OTH	259128	50026	309154			European (Finnish)	FinnGen	2.56725234201768e-58
J10_LOWERINF_FinnGen_FinnGenR7_1	1655	2.81913723954795e-06	PC5 (7e-06)	J10_LOWERINF_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_LOWERINF	Other acute lower respiratory infections (FinnGen)	INF	293033	16121	309154			European (Finnish)	FinnGen	7.52709642959303e-05
J10_NASALPOLYP_FinnGen_FinnGenR7_1	1655	2.9757212564857e-46	PC5 (6e-38)	J10_NASALPOLYP_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_NASALPOLYP	Nasal polyp (FinnGen)	IMD	234924	4865	239789			European (Finnish)	FinnGen	1.07667005461937e-44
J10_RESPIRATORY_FinnGen_FinnGenR7_1	1655	4.21607650319319e-28	PC8 (1e-16)	J10_RESPIRATORY_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_RESPIRATORY	Diseases of the respiratory system (FinnGen)	OTH	149779	159375	309154			European (Finnish)	FinnGen	2.87817489284655e-25
J10_SINUSITIS_FinnGen_FinnGenR7_1	1655	1.35166407067943e-08	PC5 (1e-07)	J10_SINUSITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_SINUSITIS	Acute sinusitis (FinnGen)	INF	255610	16240	271850			European (Finnish)	FinnGen	4.00993674301564e-07
J10_TONSILLECTOMY_FinnGen_FinnGenR7_1	1655	1.09452973010466e-05	PC8 (1e-05)	J10_TONSILLECTOMY_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_TONSILLECTOMY	Tonsillectomy (FinnGen)	OTH	287577	21577	309154			European (Finnish)	FinnGen	0.000431076324471989
J10_TONSILLITIS_FinnGen_FinnGenR7_1	1655	0.000204485529846452	PC11 (3e-04)	J10_TONSILLITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_TONSILLITIS	Other and unspecified tonssillitis (FinnGen)	INF	255610	10418	266028			European (Finnish)	FinnGen	0.00363984243126685
J10_UPPERDIS_FinnGen_FinnGenR7_1	1655	1.36722416493393e-23	PC5 (7e-15)	J10_UPPERDIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	J10_UPPERDIS	Other diseases of upper respiratory tract (FinnGen)	OTH	234924	74230	309154			European (Finnish)	FinnGen	5.60015017956938e-21
